time	day	hour	min	sec	vessel_a_x	vessel_a_y	vessel_a_z	vessel_b_x	vessel_b_y	vessel_b_z	vessel_c_x	vessel_c_y	vessel_c_z	vessel_d_x	vessel_d_y	vessel_d_z	vessel_e_x	vessel_e_y	vessel_e_z	vessel_f_x	vessel_f_y	vessel_f_z	vessel_g_x	vessel_g_y	vessel_g_z	buav_1_x	buav_1_y	buav_1_z	buav_2_x	buav_2_y	buav_2_z	buav_3_x	buav_3_y	buav_3_z	buav_4_x	buav_4_y	buav_4_z	buav_5_x	buav_5_y	buav_5_z	buav_6_x	buav_6_y	buav_6_z	
40.952	22	13	53	15	-1400.441	19.83683	0.4105197	20.28917	-0.007613874	0.3488811	400.0004	-999.9983	0.4302875	999.9998	1200.002	0.3239782	-1000.121	-500	0.3083229	-100.1284	599.9949	0.3023531	-899.985	999.9913	0.3597509	-1492	-0.000196432	4.294883	-1494	-2.25792e-05	4.29489	-1496	0.0003704883	4.294902	-1498	4.377848e-05	4.294845	-1500	0.0001733766	4.294903	-1502	8.582982e-06	4.294889	
40.98	22	13	53	15	-1400.442	19.83663	0.4060097	20.30355	-0.007624742	0.3505983	400.0004	-999.9983	0.4313453	999.9998	1200.002	0.3237756	-1000.122	-500	0.3116189	-100.1285	599.995	0.3039272	-899.985	999.9913	0.3584496	-1491.999	-0.0002438429	4.291789	-1494	-4.735228e-06	4.291795	-1495.999	0.000491603	4.291802	-1497.999	5.194577e-05	4.29173	-1499.999	0.0002397771	4.291804	-1502	2.720178e-05	4.291781	
41	22	13	53	15	-1400.442	19.83649	0.4027486	20.31382	-0.007632604	0.3518519	400.0004	-999.9983	0.4320569	999.9998	1200.002	0.3236792	-1000.122	-500	0.3139562	-100.1286	599.995	0.3050283	-899.985	999.9913	0.3575356	-1491.999	-0.0002750948	4.29008	-1494	4.300498e-06	4.290081	-1495.999	0.0005893728	4.290088	-1497.999	5.988258e-05	4.290004	-1499.999	0.0002985257	4.290088	-1501.999	4.451082e-05	4.290057	
41.036	22	13	53	16	-1400.443	19.83624	0.3968069	20.33231	-0.007646906	0.3541608	400.0004	-999.9983	0.433244	999.9998	1200.002	0.3236089	-1000.122	-500	0.3181199	-100.1287	599.995	0.3069585	-899.9849	999.9913	0.3559244	-1491.999	-0.0002976501	4.288035	-1493.999	8.29207e-06	4.288031	-1495.999	0.0007731652	4.288039	-1497.999	7.084364e-05	4.287931	-1499.999	0.0004254804	4.288029	-1501.999	6.39665e-05	4.287982	
41.052	22	13	53	16	-1400.443	19.83615	0.3948086	20.33847	-0.007651704	0.3549442	400.0004	-999.9983	0.4336128	999.9998	1200.002	0.3236154	-1000.122	-500	0.3194936	-100.1287	599.995	0.3075862	-899.9849	999.9913	0.3553973	-1491.999	-0.000300246	4.287645	-1493.999	6.828102e-06	4.28764	-1495.999	0.0008342044	4.287647	-1497.999	7.2637e-05	4.287532	-1499.999	0.000470751	4.287633	-1501.999	7.060552e-05	4.28758	
41.092	22	13	53	16	-1400.444	19.83584	0.3874218	20.36107	-0.007669389	0.3578677	400.0004	-999.9983	0.4348511	999.9998	1200.002	0.3237709	-1000.122	-499.9999	0.3244608	-100.1289	599.995	0.3098133	-899.9849	999.9913	0.35351	-1491.999	-0.000303485	4.287437	-1493.999	-1.19121e-05	4.287438	-1495.998	0.001052652	4.287426	-1497.999	6.908139e-05	4.287293	-1499.999	0.000639204	4.287409	-1501.999	0.0001018923	4.28733	
41.104	22	13	53	16	-1400.444	19.83575	0.3853941	20.36724	-0.007674238	0.3586771	400.0004	-999.9982	0.435158	999.9998	1200.002	0.3238499	-1000.122	-499.9999	0.325795	-100.1289	599.995	0.3103993	-899.9849	999.9913	0.3530081	-1491.999	-0.0002997726	4.28771	-1493.999	-1.954312e-05	4.287717	-1495.998	0.001115809	4.287698	-1497.999	7.196308e-05	4.287557	-1499.999	0.000684345	4.28768	-1501.999	0.0001146037	4.287594	
41.136	22	13	53	16	-1400.445	19.83551	0.3799682	20.38367	-0.007687242	0.3608563	400.0004	-999.9982	0.4359139	999.9998	1200.002	0.3241391	-1000.122	-499.9999	0.3293063	-100.129	599.995	0.3119141	-899.9849	999.9913	0.3516977	-1491.998	-0.0002765103	4.28913	-1493.999	-5.705777e-05	4.289145	-1495.998	0.001295083	4.289109	-1497.998	8.366835e-05	4.288946	-1499.999	0.0007896639	4.289088	-1501.999	0.0001605241	4.288982	
41.148	22	13	53	16	-1400.445	19.83542	0.3779285	20.38983	-0.007692154	0.3616802	400.0004	-999.9982	0.4361743	999.9998	1200.002	0.3242773	-1000.122	-499.9999	0.3306049	-100.1291	599.995	0.312464	-899.9849	999.9913	0.3512172	-1491.998	-0.0002651217	4.289917	-1493.999	-7.409414e-05	4.289934	-1495.998	0.001365243	4.289893	-1497.998	9.060337e-05	4.289722	-1499.998	0.0008240627	4.28987	-1501.999	0.0001778862	4.289756	
41.184	22	13	53	16	-1400.446	19.83516	0.3718027	20.40832	-0.007707045	0.3641706	400.0004	-999.9982	0.4368828	999.9999	1200.002	0.3247909	-1000.122	-499.9999	0.3344383	-100.1292	599.995	0.3140539	-899.9849	999.9913	0.3498123	-1491.998	-0.000214639	4.293101	-1493.999	-0.0001183718	4.29312	-1495.998	0.001554878	4.293068	-1497.998	0.0001102346	4.29287	-1499.998	0.0009072566	4.293034	-1501.998	0.0002361982	4.292893	
41.196	22	13	53	16	-1400.446	19.8351	0.3704414	20.41243	-0.00771039	0.3647275	400.0004	-999.9982	0.4370257	999.9999	1200.002	0.3249253	-1000.122	-499.9999	0.3352771	-100.1292	599.995	0.3143952	-899.9849	999.9913	0.3495077	-1491.998	-0.0002010406	4.293974	-1493.999	-0.0001279011	4.293993	-1495.997	0.001592697	4.293938	-1497.998	0.0001147977	4.293736	-1499.998	0.000922539	4.293901	-1501.998	0.0002512893	4.293756	
41.228	22	13	53	16	-1400.447	19.83483	0.3643242	20.43092	-0.007725607	0.3672476	400.0004	-999.9982	0.4376068	999.9999	1200.002	0.325621	-1000.123	-499.9999	0.3389893	-100.1293	599.995	0.3158792	-899.9849	999.9913	0.3481725	-1491.997	-0.0001234439	4.298637	-1493.998	-0.0001783853	4.298657	-1495.997	0.001745679	4.298594	-1497.998	0.0001435302	4.29837	-1499.998	0.000994884	4.298538	-1501.998	0.0003186521	4.297805	
41.244	22	13	53	16	-1400.447	19.83474	0.3622905	20.43708	-0.007730738	0.3680928	400.0004	-999.9982	0.4377784	999.9999	1200.002	0.3258858	-1000.123	-499.9999	0.3402033	-100.1294	599.995	0.3163556	-899.9849	999.9913	0.3477405	-1491.997	-9.150592e-05	4.300456	-1493.998	-0.0001927753	4.300476	-1495.997	0.001795593	4.300413	-1497.997	0.0001568909	4.30018	-1499.998	0.001023183	4.300348	-1501.998	0.0003588018	4.300186	
41.28	22	13	53	16	-1400.448	19.83443	0.3555427	20.45763	-0.007748017	0.3709287	400.0004	-999.9982	0.4382748	999.9999	1200.002	0.3268852	-1000.123	-499.9999	0.3441602	-100.1295	599.995	0.3178808	-899.9848	999.9913	0.3463489	-1491.997	1.188361e-05	4.307457	-1493.998	-0.000226812	4.307474	-1495.996	0.001951799	4.30742	-1497.997	0.0002056483	4.307157	-1499.997	0.001121325	4.307326	-1501.997	0.0004650815	4.307161	
41.296	22	13	53	16	-1400.448	19.83431	0.3528612	20.46584	-0.00775499	0.372071	400.0004	-999.9982	0.4384418	999.9999	1200.002	0.3273344	-1000.123	-499.9999	0.3457022	-100.1295	599.995	0.3184649	-899.9848	999.9913	0.3458135	-1491.997	4.494307e-05	4.310658	-1493.998	-0.0002444547	4.310676	-1495.996	0.002010242	4.310626	-1497.997	0.0002215829	4.31035	-1499.997	0.001152009	4.310519	-1501.997	0.0005073857	4.310356	
41.328	22	13	53	16	-1400.449	19.83406	0.3475368	20.48228	-0.00776902	0.3743681	400.0004	-999.9982	0.4387243	999.9999	1200.002	0.3283149	-1000.123	-499.9999	0.3487111	-100.1296	599.995	0.3195894	-899.9848	999.9913	0.34478	-1491.996	0.0001015708	4.31774	-1493.998	-0.0002916906	4.317758	-1495.996	0.002124791	4.317712	-1497.996	0.0002562159	4.317412	-1499.997	0.001199108	4.317584	-1501.997	0.0005759989	4.316491	
41.336	22	13	53	16	-1400.449	19.834	0.346215	20.48639	-0.007772544	0.3749446	400.0004	-999.9982	0.4387844	999.9999	1200.002	0.3285767	-1000.123	-499.9999	0.349447	-100.1296	599.995	0.3198615	-899.9848	999.9913	0.3445295	-1491.996	0.0001133249	4.319651	-1493.997	-0.0003028629	4.319669	-1495.995	0.002151396	4.319623	-1497.996	0.0002660407	4.319317	-1499.997	0.001209079	4.319491	-1501.997	0.0006017221	4.319329	
41.372	22	13	53	16	-1400.45	19.83372	0.3403198	20.50488	-0.007788499	0.3775469	400.0004	-999.9982	0.4390054	999.9999	1200.002	0.329835	-1000.123	-499.9999	0.3526723	-100.1297	599.9951	0.3210416	-899.9848	999.9913	0.3434417	-1491.996	0.0001536282	4.328935	-1493.997	-0.0003362574	4.328955	-1495.995	0.002254039	4.328908	-1497.996	0.0003097979	4.328574	-1499.996	0.001232551	4.328755	-1501.996	0.0006762348	4.328589	
41.384	22	13	53	16	-1400.45	19.83363	0.338376	20.51104	-0.007793859	0.378416	400.0004	-999.9982	0.4390613	999.9999	1200.002	0.3302827	-1000.123	-499.9999	0.3537147	-100.1298	599.9951	0.3214187	-899.9848	999.9913	0.3430936	-1491.995	0.0001591736	4.332278	-1493.997	-0.0003399204	4.332296	-1495.995	0.002281593	4.332252	-1497.996	0.0003256747	4.331905	-1499.996	0.001236231	4.33209	-1501.996	0.0006991675	4.331922	
41.424	22	13	53	16	-1400.451	19.83332	0.3319845	20.53158	-0.007811923	0.3813115	400.0005	-999.9982	0.4391855	1000	1200.002	0.3318728	-1000.124	-499.9999	0.3570629	-100.1299	599.9951	0.3226162	-899.9848	999.9913	0.3419858	-1491.995	0.0001802484	4.344299	-1493.997	-0.0003516903	4.344311	-1495.994	0.002370248	4.344283	-1497.995	0.0003762111	4.343889	-1499.995	0.001237176	4.344088	-1501.996	0.0007581527	4.343906	
